"influenced","influenced_lab","influencer","influencer_lab"
"http://dbpedia.org/resource/Moritz_Schlick","Moritz Schlick","http://dbpedia.org/resource/Ludwig_Wittgenstein","Ludwig Wittgenstein"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Ludwig_von_Mises","Ludwig von Mises"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Philipp_Mainländer","Philipp Mainländer"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","Willard Van Orman Quine","http://dbpedia.org/resource/Pierre_Duhem","Pierre Duhem"
"http://dbpedia.org/resource/Boethius","Boethius","http://dbpedia.org/resource/Plato","Plato"
"http://dbpedia.org/resource/Boris_Groys","Boris Groys","http://dbpedia.org/resource/Plato","Plato"
"http://dbpedia.org/resource/Mortimer_J._Adler","Mortimer J. Adler","http://dbpedia.org/resource/Plato","Plato"
"http://dbpedia.org/resource/Emmanuel_Mounier","Emmanuel Mounier","http://dbpedia.org/resource/Plato","Plato"
"http://dbpedia.org/resource/Epicurus","Epicurus","http://dbpedia.org/resource/Plato","Plato"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Plato","Plato"
"http://dbpedia.org/resource/Boethius","Boethius","http://dbpedia.org/resource/Plotinus","Plotinus"
"http://dbpedia.org/resource/Boethius","Boethius","http://dbpedia.org/resource/Porphyry_(philosopher)","Porphyry (philosopher)"
"http://dbpedia.org/resource/Emma_Goldman","Emma Goldman","http://dbpedia.org/resource/Ralph_Waldo_Emerson","Ralph Waldo Emerson"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Rashi","Rashi"
"http://dbpedia.org/resource/Wilhelm_Dilthey","Wilhelm Dilthey","http://dbpedia.org/resource/German_Romanticism","German Romanticism"
"http://dbpedia.org/resource/Muhammad_Iqbal","Muhammad Iqbal","http://dbpedia.org/resource/Abd_al-Karim_al-Jili","Abd al-Karim al-Jili"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Yoko_Ono","Yoko Ono"
"http://dbpedia.org/resource/Muhammad_Iqbal","Muhammad Iqbal","http://dbpedia.org/resource/Syed_Mir_Hassan","Syed Mir Hassan"
"http://dbpedia.org/resource/Epicurus","Epicurus","http://dbpedia.org/resource/Nausiphanes","Nausiphanes"
"http://dbpedia.org/resource/Al-Mutanabbi","Al-Mutanabbi","http://dbpedia.org/resource/Antarah_ibn_Shaddad","Antarah ibn Shaddad"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Antonio_Gramsci","Antonio Gramsci"
"http://dbpedia.org/resource/Epicurus","Epicurus","http://dbpedia.org/resource/Aristippus","Aristippus"
"http://dbpedia.org/resource/Boethius","Boethius","http://dbpedia.org/resource/Aristotle","Aristotle"
"http://dbpedia.org/resource/Boris_Groys","Boris Groys","http://dbpedia.org/resource/Aristotle","Aristotle"
"http://dbpedia.org/resource/Montesquieu","Montesquieu","http://dbpedia.org/resource/Aristotle","Aristotle"
"http://dbpedia.org/resource/Mortimer_J._Adler","Mortimer J. Adler","http://dbpedia.org/resource/Aristotle","Aristotle"
"http://dbpedia.org/resource/Murray_Bookchin","Murray Bookchin","http://dbpedia.org/resource/Aristotle","Aristotle"
"http://dbpedia.org/resource/Epicurus","Epicurus","http://dbpedia.org/resource/Aristotle","Aristotle"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/Aristotle","Aristotle"
"http://dbpedia.org/resource/Moritz_Schlick","Moritz Schlick","http://dbpedia.org/resource/Arthur_Schopenhauer","Arthur Schopenhauer"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Arthur_Schopenhauer","Arthur Schopenhauer"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Nicolas_Chamfort","Nicolas Chamfort"
"http://dbpedia.org/resource/Montesquieu","Montesquieu","http://dbpedia.org/resource/Nicolas_Malebranche","Nicolas Malebranche"
"http://dbpedia.org/resource/Mortimer_J._Adler","Mortimer J. Adler","http://dbpedia.org/resource/Nikolai_Berdyaev","Nikolai Berdyaev"
"http://dbpedia.org/resource/Emma_Goldman","Emma Goldman","http://dbpedia.org/resource/Nikolay_Chernyshevsky","Nikolay Chernyshevsky"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Nae_Ionescu","Nae Ionescu"
"http://dbpedia.org/resource/Al-Ma'arri","Al-Ma'arri","http://dbpedia.org/resource/Abu_Tammam","Abu Tammam"
"http://dbpedia.org/resource/Muhammad_Tahir","Muhammad Tahir","http://dbpedia.org/resource/Abu_al-Hassan_al-Kharaqani","Abu al-Hassan al-Kharaqani"
"http://dbpedia.org/resource/Wilfrid_Sellars","Wilfrid Sellars","http://dbpedia.org/resource/C._I._Lewis","C. I. Lewis"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","Willard Van Orman Quine","http://dbpedia.org/resource/C._I._Lewis","C. I. Lewis"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","Wilhelm von Humboldt","http://dbpedia.org/resource/Christian_Jakob_Kraus","Christian Jakob Kraus"
"http://dbpedia.org/resource/Emer_de_Vattel","Emer de Vattel","http://dbpedia.org/resource/Christian_Wolff_(philosopher)","Christian Wolff (philosopher)"
"http://dbpedia.org/resource/Boethius","Boethius","http://dbpedia.org/resource/Cicero","Cicero"
"http://dbpedia.org/resource/Montesquieu","Montesquieu","http://dbpedia.org/resource/Cicero","Cicero"
"http://dbpedia.org/resource/Mou_Zongsan","Mou Zongsan","http://dbpedia.org/resource/Confucius","Confucius"
"http://dbpedia.org/resource/Muhammad_Iqbal","Muhammad Iqbal","http://dbpedia.org/resource/Dante_Alighieri","Dante Alighieri"
"http://dbpedia.org/resource/A._J._Ayer","A. J. Ayer","http://dbpedia.org/resource/David_Hume","David Hume"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/David_Hume","David Hume"
"http://dbpedia.org/resource/Moritz_Schlick","Moritz Schlick","http://dbpedia.org/resource/Alois_Riehl","Alois Riehl"
"http://dbpedia.org/resource/Muhammad_Farooq_Khan","Muhammad Farooq Khan","http://dbpedia.org/resource/Javed_Ahmad_Ghamidi","Javed Ahmad Ghamidi"
"http://dbpedia.org/resource/Emmanuel_Levinas","Emmanuel Levinas","http://dbpedia.org/resource/Jean_Wahl","Jean Wahl"
"http://dbpedia.org/resource/Wilhelm_Windelband","Wilhelm Windelband","http://dbpedia.org/resource/Johann_Friedrich_Herbart","Johann Friedrich Herbart"
"http://dbpedia.org/resource/Wilhelm_Dilthey","Wilhelm Dilthey","http://dbpedia.org/resource/Johann_Gottfried_Herder","Johann Gottfried Herder"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","Wilhelm von Humboldt","http://dbpedia.org/resource/Johann_Gottfried_Herder","Johann Gottfried Herder"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","Wilhelm von Humboldt","http://dbpedia.org/resource/Johann_Gottlieb_Fichte","Johann Gottlieb Fichte"
"http://dbpedia.org/resource/Wilhelm_Dilthey","Wilhelm Dilthey","http://dbpedia.org/resource/Johann_Gustav_Droysen","Johann Gustav Droysen"
"http://dbpedia.org/resource/Muhammad_Iqbal","Muhammad Iqbal","http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe","Johann Wolfgang von Goethe"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","Walter Kaufmann (philosopher)","http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe","Johann Wolfgang von Goethe"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/John_Baldessari","John Baldessari"
"http://dbpedia.org/resource/Morris_Janowitz","Morris Janowitz","http://dbpedia.org/resource/John_Dewey","John Dewey"
"http://dbpedia.org/resource/Montesquieu","Montesquieu","http://dbpedia.org/resource/John_Locke","John Locke"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/John_Locke","John Locke"
"http://dbpedia.org/resource/Mortimer_J._Adler","Mortimer J. Adler","http://dbpedia.org/resource/John_Locke","John Locke"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/John_R._Commons","John R. Commons"
"http://dbpedia.org/resource/Will_Kymlicka","Will Kymlicka","http://dbpedia.org/resource/John_Rawls","John Rawls"
"http://dbpedia.org/resource/Mortimer_J._Adler","Mortimer J. Adler","http://dbpedia.org/resource/John_Stuart_Mill","John Stuart Mill"
"http://dbpedia.org/resource/Will_Kymlicka","Will Kymlicka","http://dbpedia.org/resource/John_Stuart_Mill","John Stuart Mill"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Joseph_de_Maistre","Joseph de Maistre"
"http://dbpedia.org/resource/Morris_Raphael_Cohen","Morris Raphael Cohen","http://dbpedia.org/resource/Josiah_Royce","Josiah Royce"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/Konrad_Lorenz","Konrad Lorenz"
"http://dbpedia.org/resource/Wilhelm_Windelband","Wilhelm Windelband","http://dbpedia.org/resource/Kuno_Fischer","Kuno Fischer"
"http://dbpedia.org/resource/Emil_Cioran","Emil Cioran","http://dbpedia.org/resource/Teresa_of_Ávila","Teresa of Ávila"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/William_James","William James"
"http://dbpedia.org/resource/Morris_Raphael_Cohen","Morris Raphael Cohen","http://dbpedia.org/resource/William_James","William James"
"http://dbpedia.org/resource/Mortimer_J._Adler","Mortimer J. Adler","http://dbpedia.org/resource/William_James","William James"
"http://dbpedia.org/resource/Eric_Voegelin","Eric Voegelin","http://dbpedia.org/resource/William_James","William James"
"http://dbpedia.org/resource/Mookie_Tenembaum","Mookie Tenembaum","http://dbpedia.org/resource/William_of_Ockham","William of Ockham"
